,Locations in A,Locations in B,author,coverdate,disc_name,doi,id,jcode,journal,la,no,numMatches,pages,publisher_name,sp,srcHtml,title,topics,ty,vo,year,Decade,Quoted Words,Locations in A with Wordcounts,Wordcounts,paraIndicesIn20
1016,"[[129117, 129300], [131047, 131215], [212301, 212416], [1175309, 1175620]]","[[11906, 12086], [15681, 15849], [18255, 18368], [18866, 19178]]",['D. J. Smith'],['19630701'],"['Humanities', 'Language & Literature']",10.2307/4334358,a663d519-d0c6-315e-8918-c16a60e1737a,['kenyrevi'],,['eng'],['3'],5,517-532,['Kenyon College'],517,"<cite>The Kenyon Review</cite>, Vol. 25, No. 3 (Summer, 1963), pp. 517-532",['Music in the Victorian Novel'],"['Keyboard music', 'Choirs', 'Russian music', 'Pity', 'Church music', 'Pianists', 'Vanity', 'Virtuosos', 'Oratorios', 'Ballet', 'Flutes', 'Archery', 'Single women', 'Hypocrisy', 'Satire', 'Etiquette', 'Ambition', 'Wardrobes', 'Orchestral conducting', 'Robbers', 'Arachnidism', 'Buzzes', 'Auditory signals', 'Financial status', 'Renaissance dance']",fla,['25'],1963,1960,176,"[[[129117, 129300], 45], [[131047, 131215], 42], [[212301, 212416], 28], [[1175309, 1175620], 61]]","[45, 42, 28, 61]",[]
2848,"[[572726, 572816]]","[[2151, 2243]]",['George Levine'],['19770301'],"['Language & Literature', 'Humanities']",10.2307/2933096,bb916631-f27b-3e59-beb7-ed346da4b39a,['ninecentfict'],Nineteenth-Century Fiction,['eng'],['4'],2,486-491,['University of California Press'],486,"<cite>Nineteenth-Century Fiction</cite>, Vol. 31, No. 4 (Mar., 1977), pp. 486-491",,"['Novels', 'Horror fiction', 'Villains', 'Childhood', 'Anthologies', 'Snobbery', 'Encyclopedias', 'Immortality', 'Courage', 'Apologetics', 'Convents', 'Ambition', 'Anger', 'Doppelgangers', 'Idealization', 'Economic model construction', 'Leys', 'Veal', 'Orchestral music', 'Tours', 'Cliche', 'Hindsight bias', 'Seven Deadly Sins', 'Laughter', 'Food staples']",brv,['31'],1977,1970,17,"[[[572726, 572816], 17]]",[17],[]
4714,"[[1575194, 1575641]]","[[21187, 21627]]",['Bernard Crick'],['19871001'],"['Language & Literature', 'History', 'History', 'Humanities']",10.2307/23539270,ad21823d-8d11-349c-afa1-4b613dd2ab79,['biography'],Biography,['eng'],['4'],2,283-300,"[""University of Hawai'i Press""]",283,"<cite>Biography</cite>, Vol. 10, No. 4 (Fall 1987), pp. 283-300",['Orwell and Biography'],"['Biographers', 'Essayists', 'Mathematical intuitionism', 'Inwardness', 'Libel', 'Engineering education', 'Obituaries', 'Satire', 'Anthropology', 'Hatchets', 'Anecdotal research', 'Readership', 'Aesthetic taste', 'Monologues', 'Bookstores', 'Gossip', 'Admission of guilt', 'Anarchism', 'Periphrasis', 'Hearsay', 'Storytelling', 'Actualization', 'Delicatessens', 'Memoirs', 'Attestations']",fla,['10'],1987,1980,111,"[[[1575194, 1575641], 111]]",[111],[]
4356,"[[449976, 450244]]","[[24065, 24348]]",['Frances Berenson'],['19910101'],"['Humanities', 'Philosophy']",10.2307/3751142,2a7d98f9-abe0-308c-bfce-d50a1a9db58e,['philosophy'],,['eng'],['255'],2,65-79,['Cambridge University Press'],65,"<cite>Philosophy</cite>, Vol. 66, No. 255 (Jan., 1991), pp. 65-79","[""What Is This Thing Called 'Love'?""]","['Envy', 'Pity', 'Agape', 'Stanzas', 'Guilt', 'Sadness', 'Emotion theories', 'Spontaneity', 'Otherness', 'Ambiguity', 'Propriety', 'Misconception', 'Objectivity', 'Disgust', 'Potentiality', 'Loneliness', 'Threatened abortion', 'Obedience', 'Craving', 'Spouses', 'Ballads', 'Gratification', 'Back to basics', 'Betrayal', 'Joy']",fla,['66'],1991,1990,53,"[[[449976, 450244], 53]]",[53],[]
814,"[[176652, 176912], [1634415, 1634515]]","[[20820, 21080], [27490, 27590]]",['Robert Preyer'],['19600901'],"['Language & Literature', 'History', 'British Studies', 'History', 'Area Studies', 'Humanities']",10.2307/3825796,49953fd7-4bf6-3e31-a18e-a1e9b79e74f1,['victorianstudies'],Victorian Studies,['eng'],['1'],3,33-54,['Indiana University Press'],33,"<cite>Victorian Studies</cite>, Vol. 4, No. 1 (Sep., 1960), pp. 33-54","['Beyond the Liberal Imagination: Vision and Unreality in ""Daniel Deronda""']","['Sublimity', 'Sympathy', 'Fear', 'Mystics', 'Pity', 'Egotism', 'Vocation', 'Complacency', 'Righteousness', 'Past life regression', 'Sanctity', 'Literary epigraphs', 'Particularity', 'Pariahs', 'Exhalation', 'Humanity', 'Novelists', 'Superstitions', 'Selfishness', 'Verisimilitude', 'Idealism', 'White supremacy', 'Iridescence', 'Actuality', 'Exertion']",fla,['4'],1960,1960,75,"[[[176652, 176912], 52], [[1634415, 1634515], 23]]","[52, 23]",[]
114,"[[1192663, 1192963], [1192977, 1193103]]","[[17031, 17329], [17342, 17466]]",['James F. Scott'],['19720901'],"['Language & Literature', 'History', 'British Studies', 'History', 'Area Studies', 'Humanities']",10.2307/3826242,071a9fdf-2f63-3e65-adad-3f9af320614a,['victorianstudies'],Victorian Studies,['eng'],['1'],3,59-76,['Indiana University Press'],59,"<cite>Victorian Studies</cite>, Vol. 16, No. 1 (Sep., 1972), pp. 59-76","['George Eliot, Positivism, and the Social Vision of ""Middlemarch""']","['Separation of church and state', 'Pawnbrokers', 'Priests', 'Vanity', 'Aristocracy', 'Feudalism', 'Orthodoxy', 'Dogmatism', 'Quagmires', 'Vicars', 'Pathos', 'Theocracy', 'Horsemanship', 'Businesspeople', 'Daydreams', 'Gout', 'Coaching', 'Cynicism', 'Delirium', 'Fables', 'Futile medical care', 'Sympathy', 'Mummies', 'Renovations', 'Chimney sweeps']",fla,['16'],1972,1970,129,"[[[1192663, 1192963], 91], [[1192977, 1193103], 38]]","[91, 38]",[]
100,"[[196544, 196618], [723896, 724025], [1192663, 1192864]]","[[5478, 5552], [12393, 12522], [13904, 14104]]",['Richard S. Lyons'],['19660601'],"['Language & Literature', 'Humanities']",10.2307/2932697,bc9047a4-dc2a-32a4-ae60-decd1534f45c,['ninecentfict'],Nineteenth-Century Fiction,['eng'],['1'],4,35-47,['University of California Press'],35,"<cite>Nineteenth-Century Fiction</cite>, Vol. 21, No. 1 (Jun., 1966), pp. 35-47",['The Method of Middlemarch'],"['Sympathy', 'Irony', 'Hope', 'Faith', 'Tenants', 'Egoism', 'Vocation', 'Formalist art', 'Ambition', 'Farce', 'Cottages', 'Disillusionment', 'Wisdom', 'Satire', 'Selfishness', 'Skirts', 'Novelists', 'Mysticism', 'Auctioneers', 'Boasting', 'Riparian rights', 'Estrangement', 'Glare', 'Wicker baskets', 'Piety']",fla,['21'],1966,1960,104,"[[[196544, 196618], 12], [[723896, 724025], 27], [[1192663, 1192864], 65]]","[12, 27, 65]",[]
4,"[[397716, 398312], [1588815, 1589729], [1588815, 1589739]]","[[20493, 21084], [22491, 23406], [22491, 23416]]",['Jane S. Smith'],['19770701'],"['Language & Literature', 'Humanities']",10.2307/40754482,ef12c01b-c42d-39b8-84dd-d00e6538143c,['texastudlitelang'],Texas Studies in Literature and Language,['eng'],['2'],5,188-203,['University of Texas Press'],188,"<cite>Texas Studies in Literature and Language</cite>, Vol. 19, No. 2, An Issue Devoted to the Nineteeth Century (SUMMER 1977), pp. 188-203",['The Reader as Part of the Fiction: Middlemarch'],"['Novels', 'Flattery', 'Humor', 'Vanity', 'Meditation', 'Sympathy', 'Gentleness', 'Udders', 'Phraseology', 'Epaulets', 'Boredom', 'Confidants', 'Letter writing', 'Intimacy', 'Misconception', 'Thimbles', 'Travelers', 'Puppets', 'Serial publications', 'Narrators', 'Trousseaux', 'Pathos', 'Leitmotifs', 'Rapport', 'Admissions counseling']",fla,['19'],1977,1970,501,"[[[397716, 398312], 122], [[1588815, 1589729], 189], [[1588815, 1589739], 190]]","[122, 189, 190]",[]
818,"[[1167569, 1168012], [1171093, 1171218], [1692794, 1692956]]","[[37544, 37982], [38470, 38588], [40380, 40541]]",['Dagni Bredesen'],"['20140101', '20140101']","['Anthropology', 'Art & Art History', 'Marketing & Advertising']",10.5749/j.ctt9qh3db.10,9ea811ac-9e7f-3a36-a6ab-c77c6ddb85f7,,,['eng'],,5,,,,,"['Fashioning the Nineteenth Century', 'Habits of Being 3', 'AN EMBLEM OF ALL THE REST', 'WEARING THE WIDOW’S CAP IN VICTORIAN LITERATURE']","['Dresses', 'Widows', 'Etiquette', 'Seduction', 'Women', 'Female sexuality', 'Legal fictions', 'Diadems', 'Grief', 'Self immolation', 'Muslin', 'Codicils', 'Kerchiefs', 'Empresses', 'Pretend play', 'Funerals', 'Vanity', 'Complicity', 'Maids', 'Charades', 'Penance', 'Remarriage', 'Virginity', 'Tulle netting', 'Veils']",mis,,2014,2010,182,"[[[1167569, 1168012], 114], [[1171093, 1171218], 30], [[1692794, 1692956], 38]]","[114, 30, 38]",[]
3725,"[[410552, 411151]]","[[9604, 10202]]",['Helen Groth'],"['20130101', '20130101']","['Language & Literature', 'Film Studies']",10.3366/j.ctt5hh2d7.6,4c316b21-85a6-3bd5-9cf7-e0b773b52c12,,,['eng'],,2,,,,,"['Moving Images', 'Nineteenth-Century Reading and Screen Practices', 'Introduction:', 'Moving Images: Nineteenth-Century Reading and Screen Practices']","['Cinematography', 'Imagination', 'Entertainment', 'Kaleidoscopes', 'Ontological multiplicity', 'Visual fixation', 'Spectacle', 'Mimesis', 'Temporality', 'Vertigo', 'Illusionism', 'Rasa', 'Automatism', 'Lithography', 'Self portraiture', 'Slide projectors', 'Dexterity', 'Wedding parties', 'Dreams', 'On demand publishing', 'Afterlife', 'Periodicals', 'Evangelists', 'Art history', 'Viewers']",mis,,2013,2010,118,"[[[410552, 411151], 118]]",[118],"[None, None, None, None, None, 5, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
5133,"[[2603, 2899]]","[[169, 463]]",['BANU SUBRAMANIAM'],"['20140101', '20140101']","['Sociology', 'General Science']",10.5406/j.ctt6wr5ch.12,87882eea-4919-37bb-b8c1-f5ac41bf49a4,,,['eng'],,3,,,,,"['Ghost Stories for Darwin', 'The Science of Variation and the Politics of Diversity', 'Through the Prism of Objectivity:', 'Dispersions of Identity, Culture, Science']","['Masculinity', 'Sexism', 'Heterosexuality', 'Enculturation', 'Body snatchers', 'Whiteness studies', 'Objectivity', 'Bathrobes', 'Assertiveness', 'Furniture', 'Universalism', 'Machismo', 'Graduate students', 'Marginalization', 'Superstitions', 'Genealogy', 'Otherness', 'Academia', 'Optimism', 'Visibility', 'Earrings', 'Egotism', 'Loneliness', 'Adolescent psychiatry', 'Janitors']",mis,,2014,2010,65,"[[[2603, 2899], 65]]",[65],[]
42,"[[411396, 411675], [414221, 414545], [417022, 417184], [449403, 450244], [583370, 583550], [583737, 583869], [767842, 768028], [768751, 768830], [1046466, 1047351], [1638534, 1639442], [1787516, 1787967], [1792153, 1792238]]","[[238, 515], [18753, 19077], [42043, 42205], [45344, 46629], [58098, 58277], [59001, 59133], [60853, 61039], [61265, 61344], [62493, 63375], [73928, 74849], [80141, 80591], [81981, 82066]]",['Cara Weber'],['20120301'],"['Language & Literature', 'Humanities']",10.1525/ncl.2012.66.4.494,42eedce9-f419-317e-9637-ba29a3871490,['ninecentlite'],Nineteenth-Century Literature,['eng'],['4'],15,494-530,['University of California Press'],494,"<cite>Nineteenth-Century Literature</cite>, Vol. 66, No. 4 (March 2012), pp. 494-530",['“The Continuity of Married Companionship”'],"['Pity', 'Spectacle', 'Sympathy', 'Alterity', 'Idealism', 'Aloneness', 'Narcissism', 'Sadness', 'Cruelty', 'Passion', 'Selfishness', 'Companionship', 'Otherness', 'Estrangement', 'Misinterpretation', 'Chivalry', 'Beauty', 'Nonfiction', 'Skepticism', 'Presentness', 'Alienation', 'Sentimentalism', 'Immediacy', 'Selfhood', 'Patient behavior']",fla,['66'],2012,2010,975,"[[[411396, 411675], 58], [[414221, 414545], 61], [[417022, 417184], 32], [[449403, 450244], 181], [[583370, 583550], 35], [[583737, 583869], 25], [[767842, 768028], 41], [[768751, 768830], 19], [[1046466, 1047351], 186], [[1638534, 1639442], 223], [[1787516, 1787967], 100], [[1792153, 1792238], 14]]","[58, 61, 32, 181, 35, 25, 41, 19, 186, 223, 100, 14]","[None, None, None, None, None, None, 6, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 9, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 11, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
533,"[[1662477, 1662967]]","[[7489, 7977]]",['Jeff Nunokawa'],['19930401'],"['Language & Literature', 'History', 'British Studies', 'History', 'Area Studies', 'Humanities']",10.2307/3828324,cca52f22-7702-3501-b2cb-343118eed53e,['victorianstudies'],Victorian Studies,['eng'],['3'],2,273-292,['Indiana University Press'],273,"<cite>Victorian Studies</cite>, Vol. 36, No. 3, Victorian Sexualities (Spring, 1993), pp. 273-292","['The Miser\'s Two Bodies: ""Silas Marner"" and the Sexual Possibilities of the Commodity']","['Sexology', 'Transubstantiation', 'Pity', 'Wrist', 'Reincarnation', 'Sublimation', 'Phobias', 'Sexual self stimulation', 'Psyche', 'Homophobia', 'Companionship', 'Eyeglasses', 'Sadness', 'Baptism', 'Pleasure principle', 'Sofas', 'Writing apprehension', 'Thirst', 'Twilight', 'Dolls', 'Pain', 'Thumb', 'Wands', 'Blindness', 'Exhibitionists']",fla,['36'],1993,1990,102,"[[[1662477, 1662967], 102]]",[102],[]
41,"[[344722, 344850], [345183, 345412], [345599, 346047], [1325909, 1326615], [1512747, 1513110], [1691186, 1691647], [1793218, 1793447]]","[[6381, 6509], [6594, 6823], [6849, 7288], [31836, 32646], [39470, 39832], [70783, 71286], [78693, 78928]]",['JEROME MECKIER'],"['19870101', '19870101']",['Language & Literature'],10.2307/j.ctt130hv1q.10,96578c68-1548-3d30-b630-22d4a078aa91,,,['eng'],,12,,,,,"['Hidden Rivalries in Victorian Fiction', 'Dickens, Realism, and Revaluation', '“That Arduous Invention”', 'Middlemarch']","['Fear', 'Pity', 'Hypocrisy', 'Humanism', 'Melodrama', 'Satire', 'Sentimentalism', 'Pessimism', 'Purgatory', 'Blackmail', 'Vocation', 'Resurrection', 'Epiphanies', 'Vampires', 'Heaven', 'Martyrdom', 'Externalization', 'Murderers', 'Healers', 'Rivalry', 'Perfection', 'Maces', 'Immortality', 'Blessings', 'Fortitude']",mis,,1987,1980,523,"[[[344722, 344850], 21], [[345183, 345412], 42], [[345599, 346047], 83], [[1325909, 1326615], 143], [[1512747, 1513110], 81], [[1691186, 1691647], 103], [[1793218, 1793447], 50]]","[21, 42, 83, 143, 81, 103, 50]",[]
727,"[[345774, 346047], [449670, 449764]]","[[3446, 3719], [5560, 5654]]",['PATRICK BRANTLINGER'],['19750101'],"['Humanities', 'Language & Literature']",10.2307/23099626,5673376c-1b4d-3c66-8c2a-eabce7dec352,['criticism'],,['eng'],['1'],3,15-40,['Wayne State University Press'],15,"<cite>Criticism</cite>, Vol. 17, No. 1 (Winter 1975), pp. 15-40","['Romances, Novels, and Psychoanalysis']","['Sublimity', 'Artistic realism', 'Fantasy', 'Romantic art', 'Fear', 'Mental disorders', 'Religious naturalism', 'Psychoanalysts', 'Omnipotence', 'Villains', 'Thrillers', 'Daydreams', 'Melodrama', 'Disillusionment', 'Blackness studies', 'Modesty', 'Conscience', 'Quack doctors', 'Piracy', 'Direct examination', 'Delirium', 'Labyrinths', 'Libido', 'Rainbows', 'Gyres']",fla,['17'],1975,1970,71,"[[[345774, 346047], 50], [[449670, 449764], 21]]","[50, 21]",[]
4605,"[[381507, 381903]]","[[126921, 127317]]",,"['20060101', '20060101']",['Language & Literature'],10.3138/j.ctt1287xbp.38,a9052b4b-aba4-3a10-ad75-9160064f2f86,,,['eng'],,2,,,,,"['The Secular Scripture and Other Writings on Critical Theory, 1976?1991', 'Notes']","['Masques', 'Hymns', 'Fables', 'Detective fiction', 'Wisdom', 'Magicians', 'Epic dramas', 'Princesses', 'Proverbs', 'Metonymy', 'Religious rites', 'Ugliness', 'Paraphrase', 'Melodic patterns', 'Dreams', 'Similes', 'Heroism', 'Peyote', 'Agent intellect', 'Anthologies', 'Betrayal', 'Symbolist art', 'Mottos', 'Novelists', 'Librettos']",mis,,2006,2000,78,"[[[381507, 381903], 78]]",[78],[]
200,"[[113029, 113982], [113612, 113988], [135109, 135394]]","[[38170, 39139], [38773, 39145], [40901, 41186]]",['John Freeman'],"['19700401', '19700401']","['Language & Literature', 'Humanities']",10.2307/42965156,4c890a3b-e4e8-3c22-85a7-8eda79da008b,['cambquar'],The Cambridge Quarterly,['eng'],['1'],5,25-40,['Oxford University Press'],25,"<cite>The Cambridge Quarterly</cite>, Vol. 5, No. 1 (Spring/Summer 1970), pp. 25-40","[""George Eliot's Great Poetry""]","['Sadness', 'Love', 'Vampires', 'Sacraments', 'Magnanimity', 'Poetry', 'Parody', 'Morticians', 'Pity', 'Whips', 'Cattle rustling', 'Sunlight', 'Professional negligence', 'Contentment', 'Mesmerism', 'Trousseaux', 'Misfortune', 'Restlessness', 'Laryngoscopes', 'Disgust', 'Nostalgia', 'Permanence', 'Perceptiveness', 'Fetishism', 'Funerals']",fla,['5'],1970,1970,383,"[[[113029, 113982], 228], [[113612, 113988], 95], [[135109, 135394], 60]]","[228, 95, 60]",[]
193,"[[1734184, 1734610], [1736735, 1737321], [1737876, 1738039]]","[[24189, 24706], [25949, 26549], [79185, 79355]]",['Andrew Bennett'],"['20090101', '20090101']",['Language & Literature'],10.2307/j.ctt155j8bf.9,606b2505-6135-3192-8084-d1a64079bfee,,,['eng'],,6,,,,,"['Ignorance', 'Literature and agnoiology', 'Our ignorance of others:', 'Middlemarch and Great Expectations']","['Love', 'Autobiographies', 'Dramatic monologues', 'Selfishness', 'Revenge', 'Fear', 'Sexual self stimulation', 'Alibis', 'Novels', 'Acknowledgments', 'Headstones', 'Irony', 'Inwardness', 'Animism', 'Narrators', 'Opacity', 'Novella', 'Textuality', 'Immanence', 'Otherness', 'Telepathy', 'Lightning', 'Docudrama', 'Philosophical realism', 'Vanity']",mis,,2009,2000,263,"[[[1734184, 1734610], 96], [[1736735, 1737321], 130], [[1737876, 1738039], 37]]","[96, 130, 37]",[]
930,"[[290798, 291020], [408398, 408548], [484824, 484965], [485023, 485555], [485556, 485682], [485813, 485921], [486101, 486600]]","[[5783, 6005], [39617, 39767], [47907, 48048], [48064, 48594], [48989, 49115], [49127, 49236], [49250, 49720]]",['Margaret Anne Doody'],['19801201'],"['Language & Literature', 'Humanities']",10.2307/3044863,785f7a72-91c6-3746-809a-d832c285ac39,['ninecentfict'],Nineteenth-Century Fiction,['eng'],['3'],10,260-291,['University of California Press'],260,"<cite>Nineteenth-Century Fiction</cite>, Vol. 35, No. 3, Special Issue: George Eliot, 1880-1980 (Dec., 1980), pp. 260-291",['George Eliot and the Eighteenth-Century Novel'],"['Passion', 'Pity', 'Jokes', 'Flattery', 'Pursuit evasion games', 'Novels', 'Robbers', 'Anger', 'Modesty', 'Egotism', 'Solitude', 'Humor', 'Manners', 'Grandmothers', 'Earrings', 'Cousins', 'Disgust', 'Millinery', 'Omniscient narrators', 'Heroism', 'Pathos', 'Mutton', 'Thunder', 'Gossip', 'Fast food industry']",fla,['35'],1980,1980,373,"[[[290798, 291020], 47], [[408398, 408548], 31], [[484824, 484965], 31], [[485023, 485555], 119], [[485556, 485682], 25], [[485813, 485921], 22], [[486101, 486600], 98]]","[47, 31, 31, 119, 25, 22, 98]","[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 4, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
28,"[[18311, 18654], [36712, 36879], [39525, 39677], [47435, 47656], [415296, 415396], [417880, 417944], [419235, 419321], [583966, 584115], [585792, 585941], [586112, 586194], [911852, 912139], [915815, 915895], [1691037, 1691535]]","[[9299, 9639], [13482, 13644], [22259, 22414], [23149, 23390], [24043, 24143], [24768, 24831], [25048, 25134], [26244, 26394], [26687, 26837], [26853, 26935], [28000, 28285], [29358, 29438], [30687, 31182]]",['Sophia Andres'],['19881201'],"['Language & Literature', 'Humanities']",10.2307/2873139,682a0b66-d9b2-305c-99dd-22cd29b16067,['elh'],ELH,['eng'],['4'],16,853-868,['Johns Hopkins University Press'],853,"<cite>ELH</cite>, Vol. 55, No. 4 (Winter, 1988), pp. 853-868",['The Germ and the Picture in Middlemarch'],"['Labyrinths', 'Preludes', 'Diastole', 'Harps', 'Curtains', 'Lightning', 'Paints', 'Refraction', 'Brightness', 'Sunlight', 'Smiles', 'Emotional harmony', 'Imprecise probabilities', 'Introspection', 'Fountains', 'Renunciation', 'Horsemanship', 'Emeralds', 'Sinew', 'Gin', 'Wave diffraction', 'Nuchal translucency measurement', 'Olfactory perception', 'Thirst', 'Endurance']",fla,['55'],1988,1980,516,"[[[18311, 18654], 79], [[36712, 36879], 36], [[39525, 39677], 26], [[47435, 47656], 46], [[415296, 415396], 20], [[417880, 417944], 15], [[419235, 419321], 17], [[583966, 584115], 29], [[585792, 585941], 34], [[586112, 586194], 15], [[911852, 912139], 68], [[915815, 915895], 17], [[1691037, 1691535], 114]]","[79, 36, 26, 46, 20, 15, 17, 29, 34, 15, 68, 17, 114]","[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 10, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 12, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 15, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
964,"[[404378, 404539], [404792, 405017]]","[[46094, 46252], [46257, 46479]]",['Jerome Bump'],['19820901'],"['Language & Literature', 'Humanities']",10.2307/3044571,49277150-9e77-3614-a053-b5dd3d486424,['ninecentfict'],Nineteenth-Century Fiction,['eng'],['2'],3,188-206,['University of California Press'],188,"<cite>Nineteenth-Century Fiction</cite>, Vol. 37, No. 2 (Sep., 1982), pp. 188-206",['Seeing and Hearing in Marius the Epicurean'],"['Baptism', 'Liturgy', 'Martyrdom', 'Incantations', 'Psalms', 'Hymns', 'Poetics', 'Intellect', 'Chivalry', 'Sacraments', 'Allegory', 'Holiness', 'Parody', 'Lyres', 'Sophistry', 'Parables', 'Marriage ceremonies', 'Recitations', 'Climacteric', 'Diviners', 'Cornbreads', 'Despair', 'Idioms', 'Feasts', 'Flutes']",fla,['37'],1982,1980,82,"[[[404378, 404539], 35], [[404792, 405017], 47]]","[35, 47]",[]
4860,"[[1277, 1530]]","[[54111, 54364]]",['MARIA LAMONACA'],['20021001'],"['Language & Literature', 'Humanities']",10.2307/29533514,ac95a67a-7cb8-34a4-a8ff-ecedc509fefc,['studiesnovel'],Studies in the Novel,['eng'],['3'],2,245-263,['Johns Hopkins University Press'],245,"<cite>Studies in the Novel</cite>, Vol. 34, No. 3 (fall 2002), pp. 245-263","['JANE\'S CROWN OF THORNS: FEMINISM AND CHRISTIANITY IN ""JANE EYRE""']","['Women', 'Divine grace', 'Sin', 'Predestination', 'Obedience', 'Preachers', 'Seduction', 'Freethought', 'Spiritual ecstasy', 'Idolatry', 'Asceticism', 'Paradise', 'Vocation', 'Villains', 'Damnation', 'Treason', 'Pantheism', 'Fortitude', 'Atonement', 'Superstitions', 'Veneration', 'Subjection', 'Summonses', 'Exorcism', 'Waterfalls']",fla,['34'],2002,2000,50,"[[[1277, 1530], 50]]",[50],[]
